ID;PART;Population;POP2;Year;Latitude;Longitude;B1;B2;B3;S1U;S1V;S1B;S1G;S1Y;S1R;S2;S3;S4;S5;S6;S7;S8;S9;S10;H1;H2;H3;H4;H5
46;Belly;0;WEST;1983;30,7684;-91,383;9588,018822;23,91027138;59,12164071;0,106081619;0,121398304;0,103191502;0,227153324;0,293552438;0,571060817;14,20268252;0,310839176;0,154438254;4938,641234;54,95893126;-0,366115808;2,298549037;0,852086922;0,354983901;700;417;579;0,206017163;581
47;Belly;0;WEST;1984;29,7892;-93,339;11298,69222;28,17628983;63,50346833;0,141348409;0,161244345;0,126665054;0,219516423;0,273871296;0,519895126;9,220551733;0,283016552;0,240529248;4892,430349;56,61630255;-0,247307319;2,009359745;0,792631193;0,483309788;700;417;579;0,151864205;575
48;Belly;0;WEST;1988;30,3657;-91,157;9542,119115;23,79580827;50,05653167;0,149204034;0,17131689;0,134060954;0,236234054;0,280565165;0,488001727;9,598682746;0,264034261;0,201555556;3777,012494;44,84159406;-0,232470197;1,884432483;0,769901659;0,379817836;700;415;572;0,191231802;577
49;Belly;0;WEST;1988;30,4028;-91,101;10155,22882;25,32476014;62,91620976;0,12697104;0,143447158;0,096623804;0,212124257;0,284007268;0,571580611;12,34108393;0,312429106;0,196567673;5210,79334;57,81809924;-0,340710769;2,283066016;0,861105082;0,448776975;700;399;582;0,132797636;583
50;Belly;0;WEST;1995;26,2949;-98,161;9504,071431;23,70092626;63,35433022;0,107677;0,122015849;0,096415652;0,198746541;0,274806676;0,604316218;12,77874508;0,334610869;0,133435624;5196,95896;58,39654056;-0,364358268;2,463892757;0,865482847;0,328771067;700;416;587;0,136689668;589
51;Belly;0;WEST;1998;28,6289;-98,566;11920,09851;29,72593144;63,88935618;0,158101053;0,181071443;0,129453386;0,222703377;0,272163904;0,497199915;8,528837727;0,270164342;0,278666667;4825,780432;56,39837579;-0,220092422;1,897278674;0,790036661;0,528708324;700;419;576;0,128956306;581
52;Belly;0;WEST;1998;29,5176;-100,409;9737,411934;24,28282278;50,68817238;0,17642164;0,202070966;0,118521031;0,222003276;0,276341598;0,490601875;8,423703596;0,263958361;0,274793348;3946,98432;44,67084617;-0,225735925;1,839606811;0,829467491;0,505511715;700;447;574;0,07597413;572
53;Belly;0;WEST;1995;29,7684;-93,022;11970,78131;29,85232247;63,04908619;0,141516379;0,161972349;0,135858027;0,237981018;0,279891212;0,492128608;9,784651678;0,266425031;0,22866922;4804,410023;56,60541417;-0,232126252;1,896181252;0,765649617;0,433598288;700;416;573;0,215299788;575
54;Belly;0;WEST;2003;30,4668;-91,71;10181,68158;25,39072714;58,94620976;0,15205023;0,172152634;0,111103875;0,204449406;0,270730929;0,539804525;10,45436326;0,29352691;0,235261143;4720,179971;53,30777839;-0,274833831;2,099497903;0,833772697;0,493930276;700;399;581;0,08022958;584
55;Belly;0;WEST;2007;30,6053;-104,583;10956,54181;27,3230469;57,49693666;0,144125654;0,166178476;0,131569477;0,239572503;0,281450264;0,492245466;10,00523636;0,265898589;0,204470984;4430,922062;51,75025216;-0,239598678;1,894014689;0,787841402;0,387271048;700;416;572;0,208979568;577
56;Belly;0;WEST;2008;30,7672;-91,391;10588,89502;26,40622201;65,94904167;0,141268207;0,1573406;0,090119724;0,205430706;0,279487557;0,5703333;9,911676068;0,324961106;0,215122639;5452,542047;59,29536965;-0,328581796;2,245507503;0,874533641;0,483059499;698;399;583;0,090390971;583
57;Belly;0;WEST;2015;31,0969;-92,627;10062,7948;25,09425137;65,51758048;0,134244714;0,150561255;0,094772071;0,18970698;0,264554867;0,588317151;10,43243963;0,326372203;0,184788214;5303,469766;59,23740222;-0,319074386;2,360596511;0,871513969;0,436210412;700;401;588;0,074404659;585
58;Belly;0;WEST;2016;31,1792;-91,633;11377,03131;28,37164916;63,2305296;0,144248354;0,163810022;0,110836163;0,232411231;0,289617053;0,519957264;10,70720481;0,335589757;0,249805014;5113,363713;57,3251107;-0,294550815;2,020506823;0,826998716;0,504732735;690;417;574;0,16354218;578
59;Belly;0;WEST;2017;29,5774;-102,942;11047,64476;27,55023632;58,29314642;0,1540188;0,177948569;0,127562427;0,231371077;0,280617782;0,4946305;8,979109389;0,266738089;0,217526462;4487,144483;51,80106086;-0,240807705;1,880240164;0,80281047;0,409001991;700;418;573;0,158367249;572
60;Belly;0;WEST;2017;29,5774;-102,942;8927,447582;22,26296155;56,22160417;0,120875344;0,137617723;0,106811399;0,208478678;0,276309423;0,571162244;13,70883152;0,320910827;0,172051282;4499,560289;52,12048117;-0,3272163;2,34112973;0,849181958;0,402794372;699;478;583;0,144004901;583
61;Belly;0;WEST;1944;30,4403;-91,165;11835,38876;29,51468519;59,68497404;0,142073962;0,165715245;0,153824341;0,24098287;0,27556805;0,47075875;8,930181876;0,254262068;0,222707521;4312,033266;53,00146245;-0,198522462;1,795765806;0,71918318;0,399930551;700;416;571;0,24889728;574
62;Belly;0;WEST;1945;30,4639;-91,141;8334,330088;20,78386556;45,37406023;0,11381279;0,13364521;0,147382621;0,240455442;0,282294553;0,505968297;12,01176305;0,274108688;0,188328585;3443,099983;41,59659142;-0,255447812;2,001388592;0,751294892;0,376918682;700;481;574;0,286877061;575
